english;french
Step load;Echelon de charge
Step/stage;Etape
Steradian;Stéradian
Stereo-radiography;Stéréoradiographie
Sterilizer;Stérilisateur
"Sterilizer (""Poupinel"")";Poupinel
Stern;Arrière
Stern;Poupe
Stern Lookout;Veilleur de plage arrière
Stern anchor weight;Masse de l'ancre de détroit
Stern drive;Z-drive
Stern fairlead;Ecubier arrière
Stern frame;Arcasse (navire)
Stern frame;Etambot
Stern frame bossing;Bossage d'étambot
Stern framing;Charpente de poupe
Stern gland;Etanchéité arrière
Stern mooring pipe;Ecubier de corps-mort
Stern post / rudder post;Etambot Arrière
Stern sheets;Chambre d'embarcation
Stern tube forward support structure;Carlingage de tête de tube d'étambot
Stern tube seal;Etanchéité du tube d'étambot
Sternmost frame;Estain
Sternway;Erre en Arrière
Sternway (to have)(to make);Avoir de l'erre en arrière
Stern right aft aftermost;Extrême Arrière
Stevedoring company;Entreprise de manutention portuaire
Steward;Maître d'hôtel
Steward;Maître d'hôtel/cambusier
Stick (to);Coincer
Sticking;Gommage
Stick-slip motion;Broutage
Stiff breeze;Forte brise
Stiffener;Raidisseur
Stiffener;Renfort
Stiffener deflection;Flèche du raidisseur
Stiffener intersection;Intersection de raidisseurs
Stiffener/ carling;Elongis
Stiffening;Renforcement
Stiffening;Renfort
Stiffening;Renforts
Stiffness;Raideur
Stiffness;Raideur (rigidité/élasticité)
Stiffness;Rigidité
Stile;Montant d'échelle
Stipple (to);Moucheter
Stirrup;Etrier
Stirrups (toe-straps on RIB);Sabots
Stitch pattern;Point de tissu
Stock;Chute de tôle réutilisable
Stock alert;Alerte (des stocks)
Stock control;Gestion des stocks
Stock depletion;Epuisement du stock
Stock is foul (the);Ancre est surjalée (l')
Stock level(s);Etat de stock
Stock pot;Marmite
Stock size;Echantillonnage de la mèche
Stock taper;Cône de la mèche
"Stock ""alert"" status notice";"Etats ""d'alerte"" (des stocks)"
Stocks;Cale inclinée
Stock out of;Rupture de stock (plutôt temporaire)
Stone facing;Perré
Stoner;Dénoyauteur
Stool;Chaise (de palier de ligne d'arbre)
Stool;Tabouret
Stop;Arrêt
Stop;Butée
Stop;Butée
Stop a leak (to);Aveugler une voie d'eau
Stop a leak (to);Etancher une fente
Stop a rope (to);Bosser une ligne
Stop and examine a ship (to);Arraisonner un navire
Stop by safety relays;Arrêt par relais de sécurité/défauts
Stop line;Ligne d'arrêt
Stop main engines!;Stopper les machines
Stop memory enabled / disabled;Mémoire arrêt armée / désarmée
Stop on failure condition;Arrêt sur incident
Stop spacer;Entretoise butée
Stop (to);Boucher
Stop / dog;Toc
Stoppage;Arrêt
Stopped;En position de repos
Stopped (to be) to be shut down;Arrêt (être à l')
Stopped shutdown switched off at;A l'arrêt
Stopper;Bosse
Stopper cable / chain compressor;Stoppeur de chaîne
Stopper chain;Bosse de chaîne
Stopper chain;Stoppeur
Stopper chain;Stoppeur de chaîne étrangloir boss
Stopper releasable;Bosse largable
Stopper rope;Bosse à aussière
Stopper rope;Stoppeur de câble
Stop-watch (for timing trials etc);Chronomètre
Stop cradle (on boat davit);Plaque d'arrêt de berceau (sur bosso
Stop elevation;Butée de pointage vertical
Stop elevation (of a gun);Butée en site
Stop emergency/panic button/emergen;"Arrêt d'urgence BP ""coup de poing"""
Stop limit;Butée de fin de course
Stop rudder;Butée de gouvernail
Stop spring push;Butée poussoir de ressort
Stop training;Butée de pointage latéral
Stop training (of a gun);Butée en circulaire
Storage;Emmagasinage
Storage;Mise en mémoire
Storage;Stockage
Storage and distribution of fuel and;Stockage & distribution de combustib
Storage and handling zones;Zones de stockage et d'utilisation
Storage bottles;Bouteilles de stockage
Storage rate;Cadence de mémorisation
Storage unit with a fitted 2-plate e;Meuble de rangement avec 2 plaques é
Store (in);Réserve (en)
Store (to);Emmagasiner
Store (to);Entreposer
Store (to);Stocker
Store / storeroom;Local de stockage
Storekeeper;Magasinier / Commis
Storekeeper;Ouvrier de magasinage
Storeroom;Réserve de stockage
Storerooms (excluding ammunition sto;Soutes (hors munitions) et magasins
Stores;Approvisionnements
Stores;Provisions
Stores Division;Division Stockage
Stores accountant;Ouvrier de gestion de stocks et d'ac
Stores replenishment;Renouvellement de stock
Stores strikedown;Magasinage des provisions
Stores-ship;Ravitailleur
Store Boatswain's;Soute de manoeuvre / de Bosco
Store CO's reserve;Coqueron Cdt
Store Forepeak;Coqueron avant
Store General Maintenance;Magasin entretien général
Store General / Naval;Magasin général
Store Officers' peak;Coqueron officiers
Store Senior Rates' peak;Coqueron OM
Store Ship's company peak;Coqueron équipage
Store Warrant Officers' peak;Coqueron OMS
Store baggage;Local valises
Store bedding and clothing;Voilerie et matériel de sport
Store buoy and beacon;Local à bouées et balises
Store buoy and beacon;Local bouées et balises
Store canvas;Voilerie
Store deck and boat gear;Soute manoeuvre et matériel d'embarc
Store diving;Local plongeurs
Store diving;Locaux plongeurs
Store diving cylinder;Local bouteilles de plongée
Store drinks;Soute boissons
Store dual-purpose deck;Soute de manoeuvre à double usage
Store electrician's;Soute électricien
Store electronic equipment;Local électronique
Store electronic equipment;Soute à matériels électroniques
Store emergency ration;Soute à vivres de réserve
Store flour;Local à farine
Store fore/aft boatswain's / seaman;Soute manoeuvre AV/AR
Store fresh vegetable;Local à légumes frais
Store medical equipment;Soute pour le matériel médical
Store minesweeping gear;Soute de dragage
Store minesweeping gear;Soute de matériels de dragage
Store paint;Soute peinture
Store product;Local ingrédients
Store small arms;Local armes portatives
Store spare part;Magasin rechange BGC
Store spare part;Magasin rechanges
Store sports equipment;Soute matériel sport
Store sweep gear;Soute de dragage
Store tool;Magasin outillage
Store wine;Local à vin
Store (to) / to stock up;Approvisionner - sens emmagasiner
Store/Storeroom;Soute (cas général)
Storing route;Parcours d'approvisionnement
Storing / stocking up;Approvisionnement (emmagasinage)
Storm warning;Avis de tempête
Stormline/lifeline;Ligne de vie
"Stornophone (""Storno"")";Talkie-walkie
Stove;Fourneau
Stove (to);Etuver
Stoving;Cuisson au four
Stow the anchor (to);Mettre à poste l'ancre
Stowage;Arrimage
Stowage;Stockage
Stowage of net;Accorage de filet
Stowage pockets (on liferaft);Pochettes de rangement (sur radeau d
Stowage rack;Casier de stockage
Stowage rack;Poste de repos (de boîte de cde de g
Stowage (frame on which a ship's boa;Chantier (d'une embarcation)
Stowage / securing;Accorage
Stowage 20 mm ammunition;Stockage munitions 20mm
Stowage DAGAIE Mk2 projectile;Stockage de munitions DAGAIE Mk2
Stowage SADRAL missile;Stockage missiles SADRAL 
Stowage accommodation ladder and br;Stockage échelle de coupée et coupée
Stowage ammunition;Stockage de munitions
Stowage concrete weight;Support pour gueuse de béton
Stowage inflatable liferaft;Poste de repos de radeau de survie
Stowage jettisonable upper deck fue;Stockage largable de carburant
Stowage lead weight;Support pour gueuse de plomb
Stowage lifejacket;Armoire à brassières/gilets de sauve
Stowage oxygen and nitrogen;Stockage oxygène et azote liquide
Stowage punched tape;Stockeur de bandes perforées
Stowage ready-service (US);Stockage de relais
Stowage ready-use (UK);Stockage de relais
Stowage rope;Stockage cordage
Stowage ship's boat;Poste de repos de vedette
Stowage small arms ammunition and;Stockage de munitions d'armes porta
Stowage standard;Stockage normalisé
Stowage waste;Stockage des déchets
Stowing of an anchor;Mise à poste d'une ancre
Straight;Rectiligne
Straight coaxial plug;Fiche coaxiale droite mâle
Straight connector with special cabl;Fiche droite à serre-câble spécial
Straight edge;Règle rectifiée
Straight hand wash-basin;Lave-mains droit
Straight knurl;Moleté
Straight line track with pull-out;Trajectoire rectiligne avec dérobeme
Straight polarity;Polarité normale (électrode négative
Straight regression line;Droite de régression
Straight run;Longueur rectiligne (tuy.)
Straight sections;Longueurs droites
Straight unjointed test finger;Doigt d'épreuve droit et sans articu
Straight (waveguide) section;Elément droit (de guide d'ondes)
Straighten (to);Redresser
Straightening;Dégauchissage (dressage)
Straightening;Dressage (de matériaux)
Straightening by heating;Dressage thermique
Straightening plate;Marbre de dressage
Straightening vanes;Aubes de redressement
Straighten (to);Dégauchir
Straightness;Rectitude
Straight-through;A passage direct
Strain;Déformation
Strain;Effort
Strain aging;Vieillissement par écrouissage
Strain aging;Vieillissement par les efforts
Strain aging;Vieillissement sous contrainte
Strain at rupture;Déformation à la rupture
Strain energy;Energie de déformation
Strain gauge;Extensomètre
Strain gauge;Jauge d'extension
Strain gauge;Tensiomètre
Strain hardening;Ecrouissage (par déformation)
Strain relief annealing;Recuit de détensionnement/Chaude de
Strain (to);Fatiguer
Strain (to);Fausser
Strain (to);Forcer
Strainer;Crépine
Strainer;Passoire
Strainer;Rampe crépinée
Strainer blowthrough;Chasse d'air de crépine
Strainer holder;Support crépine
Strainer draining;Crépine d'asséchement
Strainer pump suction;Crépine d'aspiration de la pompe
Strainer quick-cleaning;Crépine à nettoyage rapide
Strainer suction;Crépine d'aspiration
Strainer suction;Filtre d'aspiration
Strainer tank suction;Crépine d'aspiration de caisse
Strain normal;Déformation normale
Strain plane;Déformation plane
Strain plastic;Déformation plastique
Strain sagging;Effort du contre-arc
Strain torsional;Déformation en torsion
Strait;Détroit
Strake;Normale de ballast
Strake;Virure
Strake (hull);Virure (coque)
Strake bilge;Virure de bouchain
Strake garboard;Virure de galbord
Strake keel;Virure de quille
Strake lap;Virure à clin
Strake planing;Virure de plané
Strake reinforced;Virure renforcée
Strake rubbing;Bande anti-ragage
Strake rubbing;Bande de ragage
Strake rubbing;Ceinture liston
Strake rubbing;Liston
Strake sheer;Virure de carreau
Strand;Fil de base
Strand;Toron
Strand of the conductor;Brin de l'âme
Strand (rope);Brin
Strand wire;Toron de conducteurs (de câbles élec
Strap;Barrette de sectionnement
Strap;Bride (sangle)
Strap;Collier
Strap;Courroie (attache)
Strap;Pontet (de fixation)
Strap;Sangle
Strap (TLT);Etrier (TLT)
Straps anti-roll;Sangles antiroulis
Strap adjustable neck;Sangle collier réglable
Strap cable;Sangle de fixation de câble
Strap chest;Sangle ventrale
Strap connecting;Barrette de connexion
Strap crutch (on lifejacket);Sangle d'entrejambe (gilet de sauvet
Strap disconnecting;Barrette de sectionnement
Strap heavy duty copper;Eclisse
Strap leg;Sangle de cuisse
Strap neutral;Barrette de neutre
Strap sliding buckle;Sangle avec boucle à coulisse
Strap webbing;Sangle textile
Stray;Errant
Stray flash;Coup d'arc
Stream function;Fonction d'écoulement laminaire
Stream line;Filet d'air
Stream (to);Filer (une drague)
Stream (to);Mouiller (une bouée)
Streamer (flag);Flamme
Streaming;Mise à l'eau
Streamlined;Aérodynamique
Streamlined;Profilé
Streamlined mast;Mât (optronique) carène (de s/Marin)
Strength;Force
Strength;Résistance
Strength;Résistance mécanique
Strength;Tenue (d'une fixation)
Strength and readibility;Force et lisibilité
Strength deck plating at longitudina;Tôle du pont de résistance au droit
Strength of materials;Résistance des matériaux
Strength / integrity / behaviour;Tenue
Strength breaking;Charge de rupture
Strength breaking;Résistance à la rupture
Strength buckling;Résistance au flambage
Strength cohesive;Résistance de cohésion
Strength compressive;Résistance à la compression
Strength creep;Résistance au fluage
Strength critical buckling;Résistance critique de flambement
Strength debonding;Résistance au décollement
Strength dielectric;Rigidité diélectrique
Strength disruptive;Rigidité diélectrique
Strength electrical;Résistance électrique (phénomène)
Strength failure;Résistance à la rupture
Strength fatigue;Résistance à la fatigue
Strength fatigue;Résistance à la fatigue.
Strength flexural;Résistance en flexion
Strength frictional;Résistance de frottement
Strength gel;Stabilité du gel
Strength green;Résistance en vert ou à cru
Strength impact;Résilience
Strength interlaminar shear;Résistance au cisaillement interlami
Strength longitudinal;Résistance longitudinale
Strength long-term hydrostatic;Résistance hydrostatique à long term
Strength magnetic field;Champ magnétique
Strength mechanical;Résistance mécanique
Strength peel;Résistance au pelage
Strength pull-off;Résistance au détachement/décollemen
Strength specific tensile;Résistance spécifique
Strength static;Résistance statique
Strength still air;Résistance de l'air
Strength structural;Résistance de construction
Strength tensile;Résistance à la rupture en traction
Strength tensile;Résistance à la traction
Strength torsional;Résistance à la torsion
Strength towing;Résistance de remorquage
Strength transverse impact;Résilience travers
Strength wavebreaking;Résistance due à la résistance de la
Strength wavemaking;Résistance due à la formation de vag
Stress;Charge
Stress;Contrainte
Stress;Effort
Stress function (Airy function);Fonction contrainte (fonction d'Airy
Stress relaxation;Relaxation en contrainte
Stress relief heat treatment;Détente (traitement thermique)
Stress relieving;Recuit de détente
Stress relieving;Traitement de relaxation après souda
Stresses;Sollicitations
Stresses primary;Efforts principaux
Stresses secondary;Contraintes secondaires
Stresses tertiary;Contraintes tertiaires
Stress bolt maximum tensile;Contrainte nominale de traction des
Stress combined;Contrainte combinée
Stress compressive;Contrainte de compression
Stress critical;Contrainte critique
Stress cyclic;Contrainte cyclique
Stress dynamic;Contrainte dynamique
